,comment,user,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,shot,com
497,好像谢源,03bae415,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.64337644932,2.56654758335,2.61188309084,0.283843019326,1.9587444328,0.99075154416,0.189132351819,2.27323612419,1.00572806509,1.93827149693,3.25579792208,1.51819825204,2.81379257539,1.36279759338,1.14994513102,3.97353036243,2.11720730113,3.55560370471,3.98746927958,3.97845114515,1,209
683,好像谢源,03bae415,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.7406593508,2.67263173751,2.65350804314,0.377048760663,2.04546460391,1.07553626663,0.21657009939,2.3928795689,1.10357279358,2.06341562521,3.02597201697,3.87411948708,0.898169693586,3.38780675063,3.19222196231,2.31021979602,0.511624149507,3.84467404621,2.83496422308,3.94622092875,2,150
337,神父,03f1889c,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.51639043243,2.50692299484,2.50203594541,0.230942759216,1.91357781112,0.836459249677,0.107025319506,2.13474546486,0.850890984995,1.7834971012,3.25579792208,1.51819825204,2.81379257539,1.36279759338,1.14994513102,3.97353036243,2.11720730113,3.55560370471,3.98746927958,3.97845114515,1,49
381,靓昆怎么字幕是阿君,03f1889c,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.55630567558,2.52537053667,2.53649177938,0.247752168535,1.92754890509,0.885450506576,0.133171170334,2.17841222456,0.900052676272,1.8324318508,3.25579792208,1.51819825204,2.81379257539,1.36279759338,1.14994513102,3.97353036243,2.11720730113,3.55560370471,3.98746927958,3.97845114515,1,93
1095,如龙,03f1889c,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.86588418887,2.77262662519,2.80917749068,0.528401441528,2.18414481089,1.14760716835,0.373055985338,2.54608750852,1.25612364007,2.15943500549,1.82183850897,0.978662799211,3.20588910769,3.51680630806,3.7865716103,3.633179704,2.90169320738,1.87708873337,3.18164990897,3.90353331491,4,166
1266,神父你女儿呢,03f1889c,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.91546438886,2.81353780204,2.863960176,0.584399373274,2.24129497261,1.19992446461,0.401860664549,2.59256504654,1.27687605605,2.18873457579,3.98941833173,3.46616823108,3.98851569421,3.96140196904,3.98359004208,3.61135264582,1.65830438226,3.67455202613,0.817684068824,1.36727486398,5,129
346,神父,03f1889c,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.52472407667,2.51080714811,2.5092377584,0.234432175963,1.91651980613,0.846633167555,0.112446741715,2.14384736417,0.861100576225,1.79368228792,3.25579792208,1.51819825204,2.81379257539,1.36279759338,1.14994513102,3.97353036243,2.11720730113,3.55560370471,3.98746927958,3.97845114515,1,58
673,黑社会扶老奶奶过马路,03f1889c,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.73596980191,2.66648088464,2.65194877578,0.37209486051,2.04041757471,1.07235729522,0.216023037871,2.38708337848,1.09960874523,2.05759108192,3.02597201697,3.87411948708,0.898169693586,3.38780675063,3.19222196231,2.31021979602,0.511624149507,3.84467404621,2.83496422308,3.94622092875,2,140
1970,看完了。。。,051d7aec,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.04752864426,2.92634039922,2.99591193157,0.726177418123,2.3810621664,1.35008826197,0.518843032152,2.72859264772,1.36470228147,2.28825432672,3.15649802015,0.580209249728,3.45318824084,3.333885572,3.42440165346,2.6487972912,0.70825268701,0.985747060255,3.86649399174,2.14790101579,9,174
1661,太渣了,0562f2c8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.99036624184,2.89216003537,2.93333332802,0.664296813135,2.328027524,1.29516546886,0.491969457904,2.69388204525,1.30838520051,2.25831732623,3.13604883319,3.34187499127,3.91230880501,3.85573758694,2.54971760053,3.76742100542,3.64467156728,3.52546132217,0.5298977236,3.92944596521,7,145
1606,都怕了他了,0562f2c8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.97948943208,2.88061261301,2.919937035,0.651021118978,2.31907573901,1.28216828769,0.479502362872,2.68161901736,1.30622397338,2.24469739562,3.13604883319,3.34187499127,3.91230880501,3.85573758694,2.54971760053,3.76742100542,3.64467156728,3.52546132217,0.5298977236,3.92944596521,7,90
